,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,puerto ayora,-0.74,-90.35,68.0,95,99,1.01,EC,1603854282
88,vilyuysk,63.76,121.62,7.32,91,100,2.46,RU,1603854401
89,kaitangata,-46.28,169.85,53.01,81,43,11.01,NZ,1603854401
90,enid,36.4,-97.88,32.0,100,90,3.36,US,1603854402
91,tasiilaq,65.61,-37.64,33.8,34,100,14.99,GL,1603854085
92,maceio,-9.67,-35.74,77.0,83,75,3.36,BR,1603854380
93,porosozero,62.72,32.73,48.07,93,100,11.32,RU,1603854402
94,lebu,-37.62,-73.65,50.79,87,100,12.35,CL,1603854304
95,newport,51.59,-3.0,48.0,96,97,1.99,GB,1603854366
96,vaini,-21.2,-175.2,77.0,78,75,12.75,TO,1603854271
97,taoudenni,22.68,-3.98,77.36,19,0,1.01,ML,1603854404
98,mayumba,-3.43,10.66,77.29,89,99,10.29,GA,1603854404
99,atuona,-9.8,-139.03,78.8,73,1,19.39,PF,1603854269
100,ruston,32.52,-92.64,57.2,87,90,6.93,US,1603854195
101,sao joao da barra,-21.64,-41.05,74.32,92,100,12.03,BR,1603854405
102,samarai,-10.62,150.67,83.28,77,2,9.4,PG,1603853931
103,bubaque,11.28,-15.83,82.2,79,19,9.24,GW,1603854405
104,yara,20.28,-76.95,75.25,90,98,7.43,CU,1603854405
105,flin flon,54.77,-101.86,25.48,97,100,7.85,CA,1603854406
106,mahebourg,-20.41,57.7,73.99,75,9,1.99,MU,1603854260
107,isangel,-19.55,169.27,79.41,69,13,15.48,VU,1603854407
108,north bend,43.41,-124.22,54.0,87,1,11.41,US,1603854407
109,tutoia,-2.76,-42.27,79.29,82,43,11.61,BR,1603854407
110,chuy,-33.7,-53.46,62.17,97,100,9.6,UY,1603854407
111,inhambane,-23.86,35.38,71.47,90,1,6.91,MZ,1603853898
112,venafro,41.48,14.05,55.0,94,100,4.0,IT,1603854408
113,reconquista,-29.15,-59.65,62.17,83,0,6.26,AR,1603854408
114,smithers,54.78,-127.17,37.4,93,75,2.86,CA,1603854408
115,palu,-0.89,119.87,91.0,49,100,2.66,ID,1603853927
116,turayf,31.67,38.66,66.2,24,0,16.11,SA,1603854409
117,saint-augustin,51.23,-58.65,29.84,91,19,5.55,CA,1603853909
118,pregradnoye,45.82,41.75,51.1,71,34,18.54,RU,1603854409
119,kieta,-6.22,155.63,84.85,70,31,1.7,PG,1603854410
120,carnarvon,-24.87,113.63,75.2,57,0,23.04,AU,1603854011
121,zhangye,38.93,100.45,47.25,51,14,5.84,CN,1603854255
122,verkhoyansk,67.54,133.38,5.83,92,86,1.41,RU,1603854410
123,college,64.86,-147.8,28.4,92,90,4.7,US,1603854196
124,tuktoyaktuk,69.45,-133.04,12.2,92,90,16.11,CA,1603854289
125,mehamn,71.04,27.85,36.09,83,100,10.56,NO,1603853905
126,yar-sale,66.83,70.83,2.14,92,0,7.14,RU,1603853909
127,mayna,54.11,47.62,30.25,91,99,6.29,RU,1603854411
